date,code,close,pctChg,volume,amount
2021-02-26,sz.000951,38.66,-2.888721,263136516.0,11283260893.17
2021-03-31,sz.000951,38.2,-1.18986,149807654.0,5934348113.48
2021-04-30,sz.000951,33.79,-11.5445,86856586.0,3044881774.22
2021-01-29,sz.000157,12.44,25.656566,3893058049.0,45318491470.85
2021-02-26,sz.000157,14.38,15.594855,3035498013.0,42313161526.36
2021-03-31,sz.000157,12.71,-11.613352,2876171053.0,38140307143.08
2021-04-30,sz.000157,11.81,-7.081,1539283314.0,19157088445.6
2021-01-29,sz.002353,42.99,22.828571,295654435.0,12118310218.27
2021-02-26,sz.002353,42.5,-1.1398,268357618.0,13207004688.57
2021-03-31,sz.002353,34.95,-17.764706,275683860.0,10674727417.73
2021-04-30,sz.002353,33.01,-5.5508,203507889.0,6806685391.8
2021-01-29,sh.600031,40.46,15.666095,2833085997.0,116482834871.07
2021-02-26,sh.600031,41.11,1.606525,1969193438.0,86895203993.98
2021-03-31,sh.600031,34.15,-16.930187,2649506366.0,99802801536.23
2021-04-30,sh.600031,30.88,-9.5754,2232424612.0,72416287917.43
2021-01-29,sh.600426,39.02,4.61126,319483702.0,13318363706.21
2021-02-26,sh.600426,42.57,9.097899,363016632.0,16831395052.29
2021-03-31,sh.600426,37.55,-11.792342,587365243.0,22060542759.25
2021-04-30,sh.600426,39.01,3.8881,318573863.0,11901615444.48
2021-01-29,sz.002027,10.86,10.030395,3681885418.0,40856046591.07
2021-02-26,sz.002027,10.95,0.828729,2436067774.0,28463992376.54
2021-03-31,sz.002027,9.28,-15.251142,4382169614.0,44497264628.82
2021-04-30,sz.002027,10.78,16.1638,2470596263.0,24171762040.78
2021-01-29,sh.601318,79.08,-9.082548,2367748721.0,201017795424.57
2021-02-26,sh.601318,85.18,7.713708,1705542517.0,139227689256.42
2021-03-31,sh.601318,78.7,-7.60742,1696806207.0,141077050580.5
2021-04-30,sh.601318,72.5,-6.153,1190432676.0,89891526326.79
2021-01-29,sz.002271,48.5,25.0,701507354.0,33354334288.86
2021-02-26,sz.002271,47.23,-2.618557,489818018.0,25284807618.77
2021-03-31,sz.002271,51.16,8.320982,726326001.0,35165291727.34
2021-04-30,sz.002271,57.76,12.9007,481113590.0,26247974090.48
2021-01-29,sz.300759,143.11,18.862126,126818427.0,17230481879.91
2021-02-26,sz.300759,127.25,-11.082384,68308611.0,9783121365.35
2021-03-31,sz.300759,149.89,17.791749,141944330.0,17316486804.77
2021-04-30,sz.300759,162.19,8.206,85633703.0,13147381288.26
2021-01-29,sz.002313,9.95,-15.891801,45817103.0,498367443.86
2021-02-26,sz.002313,10.58,6.331658,37003587.0,372184435.72
2021-03-31,sz.002313,10.0,-5.482042,35889696.0,373195758.82
2021-04-30,sz.002313,10.14,1.4,32741094.0,340715849.22
2021-01-29,sz.002050,22.97,-6.815416,806185152.0,20817849773.98
2021-02-26,sz.002050,24.18,5.267741,581493129.0,14455953124.85
2021-03-31,sz.002050,20.62,-14.722911,696388321.0,15067508374.63
2021-04-30,sz.002050,21.42,3.8797,442977758.0,9641232456.89
2021-01-29,sz.002812,131.97,-6.919171,229426115.0,31976028598.12
2021-02-26,sz.002812,106.01,-19.671137,149501574.0,18787607847.48
2021-03-31,sz.002812,111.92,5.574946,204112313.0,23258603979.09
2021-04-30,sz.002812,134.55,20.3761,103036150.0,12578196953.88
2021-01-29,sz.000049,67.9,0.443787,159636076.0,11380286338.72
2021-02-26,sz.000049,67.55,-0.515464,62409973.0,4572587628.93
2021-03-31,sz.000049,68.29,1.095485,71530056.0,5126847571.88
2021-04-30,sz.000049,71.44,4.6127,63725354.0,4452624779.08
2021-01-29,sz.002352,98.99,12.195398,515060561.0,48458824188.38
2021-02-26,sz.002352,104.96,6.030912,332550753.0,36437892961.76
2021-03-31,sz.002352,81.02,-22.808689,594090219.0,53040881699.52
2021-04-30,sz.002352,64.35,-20.1682,773146835.0,52641397341.09
2021-01-29,sh.603267,135.08,4.908357,72356099.0,10481215345.94
2021-02-26,sh.603267,124.21,-8.047083,46791208.0,6133229806.11
2021-03-31,sh.603267,129.73,4.444087,60302294.0,7419938499.12
2021-04-30,sh.603267,117.0,-9.5462,42419284.0,5338096510.77
2021-01-29,sz.002709,95.37,-8.121387,357208258.0,38441281824.42
2021-02-26,sz.002709,83.2,-12.760826,221468122.0,20968269364.62
2021-03-31,sz.002709,81.61,-1.911058,285558253.0,24231453964.0
2021-04-30,sz.002709,67.4,40.6655,299978121.0,25097683198.21
2021-01-29,sz.300037,82.9,-18.244576,218797467.0,19828935479.87
2021-02-26,sz.300037,77.61,-6.381182,135805333.0,10911269875.89
2021-03-31,sz.300037,76.44,-1.507538,124000362.0,9281905224.75
2021-04-30,sz.300037,77.02,0.7588,74351374.0,5815715784.14
2021-01-29,sh.601658,5.48,14.644351,4446651843.0,23574975793.06
2021-02-26,sh.601658,6.12,11.678832,3849808328.0,23072666830.66
2021-03-31,sh.601658,5.87,-4.084967,3196006513.0,19055010123.0
2021-04-30,sh.601658,5.09,-13.2879,2267852573.0,12398501886.17
2021-01-29,sz.000568,257.7,13.945879,360738142.0,89584939080.64
2021-02-26,sz.000568,235.21,-8.727202,279100148.0,76682664221.35
2021-03-31,sz.000568,225.02,-4.332299,409046567.0,87176345747.65
2021-04-30,sz.000568,255.58,13.581,267039345.0,64190916366.9
2021-01-29,sz.000725,6.18,3.0,29373603760.0,194564569341.88
2021-02-26,sz.000725,6.09,-1.456311,15220125824.0,94353888144.99
2021-03-31,sz.000725,6.27,2.955665,20427627024.0,126118371399.86
2021-04-30,sz.000725,7.33,16.9059,21810577120.0,149953753645.01
2021-01-29,sz.300347,167.39,3.576511,153886456.0,26221045843.72
2021-02-26,sz.300347,140.58,-16.016488,118571962.0,20194411651.83
2021-03-31,sz.300347,150.11,6.779058,211150615.0,28333832393.3
2021-04-30,sz.300347,156.51,4.2635,132494966.0,19542780543.27
2021-01-29,sh.601633,41.92,10.87014,1021139007.0,42962122300.66
2021-02-26,sh.601633,31.37,-25.166985,672608108.0,25904071294.4
2021-03-31,sh.601633,30.13,-3.008869,719594996.0,21657378782.95
2021-04-30,sh.601633,33.43,10.9525,823472114.0,27522804197.94
2021-01-29,sz.300496,147.21,25.820513,164881240.0,22131353815.14
2021-02-26,sz.300496,120.3,-18.280008,111389703.0,15379519555.71
2021-03-31,sz.300496,121.85,1.288446,153881767.0,17968597875.18
2021-04-30,sz.300496,134.35,10.4484,123071757.0,15700532104.77
2021-01-29,sz.002705,49.4,16.923077,166142052.0,8045983824.77
2021-02-26,sz.002705,44.44,-10.040486,77745823.0,3775866481.03
2021-03-31,sz.002705,35.0,-21.242124,106568296.0,4190219506.7
2021-04-30,sz.002705,37.44,6.9714,113475058.0,4111017086.46
2021-01-29,sz.000100,8.59,21.327684,14847582048.0,132151063977.76
2021-02-26,sz.000100,8.23,-4.19092,7627291392.0,68568625244.69
2021-03-31,sz.000100,9.34,13.487242,12416152560.0,116270877405.81
2021-04-30,sz.000100,9.0,-3.6403,8011487239.0,74178224905.69
