,fund_code,short_name,name,fund_type,full_name
11705,515230,GTZZQZRJETF,国泰中证全指软件ETF,ETF-场内,GUOTAIZHONGZHENGQUANZHIRUANJIANETF
11706,515250,FGZZZNQCZTETF,富国中证智能汽车主题ETF,ETF-场内,FUGUOZHONGZHENGZHINENGQICHEZHUTIETF
11707,515260,HBZZDZ50ETF,华宝中证电子50ETF,ETF-场内,HUABAOZHONGZHENGDIANZI50ETF
11708,515280,FGZZYHETF,富国中证银行ETF,ETF-场内,FUGUOZHONGZHENGYINHANGETF
11709,515290,THZZYHETF,天弘中证银行ETF,ETF-场内,TIANHONGZHONGZHENGYINHANGETF
11710,515293,THZZYHETF,天弘中证银行ETF,ETF-场内,TIANHONGZHONGZHENGYINHANGETF
11711,515300,JSHS300HLDBDETF,嘉实沪深300红利低波动ETF,ETF-场内,JIASHIHUSHEN300HONGLIDIBODONGETF
11712,515310,TFHS300ETF,添富沪深300ETF,ETF-场内,TIANFUHUSHEN300ETF
11713,515320,HAZZDZ50ETF,华安中证电子50ETF,ETF-场内,HUAANZHONGZHENGDIANZI50ETF
11714,515330,THHS300ETF,天弘沪深300ETF,ETF-场内,TIANHONGHUSHEN300ETF
11715,515350,MSJYHS300ETF,民生加银沪深300ETF,ETF-场内,MINSHENGJIAYINHUSHEN300ETF
11716,515360,FZFBHS300ETF,方正富邦沪深300ETF,ETF-场内,FANGZHENGFUBANGHUSHEN300ETF
11717,515380,TKHS300ETF,泰康沪深300ETF,ETF-场内,TAIKANGHUSHEN300ETF
11718,515390,HAHS300ETF,华安沪深300ETF,ETF-场内,HUAANHUSHEN300ETF
11719,515400,FGZZDSJCYETF,富国中证大数据产业ETF,ETF-场内,FUGUOZHONGZHENGDASHUJUCHANYEETF
11720,515450,NFZGAGDPHLDB50ETF,南方中国A股大盘红利低波50ETF,ETF-场内,NANFANGZHONGGUOAGUDAPANHONGLIDIBO50ETF
11721,515500,HFTZZCSJLXETF,海富通中证长三角领先ETF,ETF-场内,HAIFUTONGZHONGZHENGCHANGSANJIAOLINGXIANETF
11722,515510,JSZZ500CZGZETF,嘉实中证500成长估值ETF,ETF-场内,JIASHIZHONGZHENG500CHENGZHANGGUZHIETF
11723,515520,DCMSCIZGAGZYJZ100ETF,大成MSCI中国A股质优价值100ETF,ETF-场内,DACHENGMSCIZHONGGUOAGUZHIYOUJIAZHI100ETF
11724,515530,TKZZ500ETF,泰康中证500ETF,ETF-场内,TAIKANGZHONGZHENG500ETF
11725,515550,ZRZZ500ETF,中融中证500ETF,ETF-场内,ZHONGRONGZHONGZHENG500ETF
11726,515560,JXZZQZZQGSETF,建信中证全指证券公司ETF,ETF-场内,JIANXINZHONGZHENGQUANZHIZHENGQUANGONGSIETF
11727,515570,SXZZHLETF,山西中证红利ETF,ETF-场内,SHANXIZHONGZHENGHONGLIETF
11728,515580,HTBRZZKJ100ETF,华泰柏瑞中证科技100ETF,ETF-场内,HUATAIBAIRUIZHONGZHENGKEJI100ETF
11729,515590,QHKYZZ500DQETF,前海开源中证500等权ETF,ETF-场内,QIANHAIKAIYUANZHONGZHENG500DENGQUANETF
11730,515600,GFYQCXETF,广发央企创新ETF,ETF-场内,GUANGFAYANGQICHUANGXINETF
11731,515610,ZYZZ800ETF,中银中证800ETF,ETF-场内,ZHONGYINZHONGZHENG800ETF
11732,515620,JXZZ800ETF,建信中证800ETF,ETF-场内,JIANXINZHONGZHENG800ETF
11733,515630,PHZZ800ZBETF,鹏华中证800证保ETF,ETF-场内,PENGHUAZHONGZHENG800ZHENGBAOETF
11734,515650,FGZZXF50ETF,富国中证消费50ETF,ETF-场内,FUGUOZHONGZHENGXIAOFEI50ETF
11735,515660,GLAHS300ETF,国联安沪深300ETF,ETF-场内,GUOLIANANHUSHEN300ETF
11736,515670,ZYZZ100ETF,中银中证100ETF,ETF-场内,ZHONGYINZHONGZHENG100ETF
11737,515680,JSZZYQCXQDETF,嘉实中证央企创新驱动ETF,ETF-场内,JIASHIZHONGZHENGYANGQICHUANGXINQUDONGETF
11738,515690,PHZZGGXLTETF,鹏华中证高股息龙头ETF,ETF-场内,PENGHUAZHONGZHENGGAOGUXILONGTOUETF
11739,515700,PAZZXNYQCCYETF,平安中证新能源汽车产业ETF,ETF-场内,PINGANZHONGZHENGXINNENGYUANQICHECHANYEETF
11740,515710,HBZZXFSPYLZTETF,华宝中证细分食品饮料主题ETF,ETF-场内,HUABAOZHONGZHENGXIFENSHIPINYINLIAOZHUTIETF
11741,515750,FGZZKJ50CLETF,富国中证科技50策略ETF,ETF-场内,FUGUOZHONGZHENGKEJI50CELUEETF
11742,515760,HXZZZJGZCXFZETF,华夏中证浙江国资创新发展ETF,ETF-场内,HUAXIAZHONGZHENGZHEJIANGGUOZICHUANGXINFAZHANETF
11743,515770,STMGMSCIZGAGETF,上投摩根MSCI中国A股ETF,ETF-场内,SHANGTOUMOGENMSCIZHONGGUOAGUETF
11744,515780,PYASMSCIZGAGETF,浦银安盛MSCI中国A股ETF,ETF-场内,PUYINANSHENGMSCIZHONGGUOAGUETF
11745,515790,HTBRZZGFCYETF,华泰柏瑞中证光伏产业ETF,ETF-场内,HUATAIBAIRUIZHONGZHENGGUANGFUCHANYEETF
11746,515800,TFZZ800ETF,添富中证800ETF,ETF-场内,TIANFUZHONGZHENG800ETF
11747,515810,YFDZZ800ETF,易方达中证800ETF,ETF-场内,YIFANGDAZHONGZHENG800ETF
11748,515820,FGZZ800ETF,富国中证800ETF,ETF-场内,FUGUOZHONGZHENG800ETF
11749,515830,GYRXZZ800ETF,工银瑞信中证800ETF,ETF-场内,GONGYINRUIXINZHONGZHENG800ETF
