stock_code,stock_name,mkt_val_20q4,mkt_val_21q1,change,stock_ex_code
700,腾讯控股,0.016041860100689427,0.04054332153049701,2.450146142980758,sz.000700
300750,宁德时代,0.016831890026829464,0.034215244233826776,1.7383354206997312,sz.300750
2415,海康威视,0.003454840377070465,0.018584862771877722,1.5130022394807257,sz.002415
3690,美团-W,0.009346455084250603,0.02064328092864285,1.1296825844392246,sz.003690
600900,长江电力,0.0009511413370558924,0.011931442017195317,1.0980300680139423,sh.600900
601888,中国中免,0.0016342530739527057,0.012273876020587217,1.0639622946634513,sh.601888
300122,智飞生物,0.0011420683593778497,0.010663458180134595,0.9521389820756745,sz.300122
600519,贵州茅台,0.02867878060573427,0.03807837891420719,0.9399598308472923,sh.600519
601012,隆基股份,0.00741680864655908,0.01633062702806834,0.8913818381509259,sh.601012
1810,小米集团-W,0.00013981055628665946,0.008954256738071983,0.8814446181785323,sz.001810
603259,药明康德,0.00856658440912687,0.01701597410327337,0.8449389694146499,sh.603259
858,五粮液,0.02079294048236334,0.02923415698153573,0.8441216499172389,sz.000858
600309,万华化学,0.0025696916629958607,0.010980324735309611,0.8410633072313751,sh.600309
601166,兴业银行,0.004079718400976634,0.012464808183707283,0.8385089782730649,sh.601166
603799,华友钴业,0.001080222964699167,0.008612185967502276,0.7531963002803109,sh.603799
601088,中国神华,0.0004778875437139071,0.006636361086010346,0.6158473542296439,sh.601088
1,平安银行,0.0008659459858693352,0.006853671162979061,0.5987725177109726,sz.000001
300363,博腾股份,0.00036619473610165177,0.006285861166021006,0.5919666429919355,sz.300363
601601,中国太保,0.002359309342976017,0.00826450733476067,0.5905197991784653,sh.601601
600036,招商银行,0.007323503146234898,0.012937065126515622,0.5613561980280725,sh.600036
333,美的集团,0.012929637376838544,0.01793825330729616,0.5008615930457615,sz.000333
951,中国重汽,0.0002537727659492855,0.005206236752740515,0.495246398679123,sz.000951
157,中联重科,0.0003404494030790298,0.005137187228858936,0.4796737825779906,sz.000157
388,香港交易所,0.002391408629401358,0.0071535353919391685,0.4762126762537811,sz.000388
2353,杰瑞股份,0.00019692663375837596,0.00485903757198173,0.46621109382233544,sz.002353
600031,三一重工,0.007158691312998466,0.011563409497098064,0.44047181840995986,sh.600031
600426,华鲁恒升,0.0002817446821156674,0.00433753093793611,0.40557862558204427,sh.600426
2027,分众传媒,0.00018725638706684565,0.004175333866393034,0.39880774793261886,sz.002027
601318,中国平安,0.0051558940481552865,0.00896722169502993,0.3811327646874644,sh.601318
2271,东方雨虹,0.002625315904938704,0.006329184830750582,0.3703868925811878,sz.002271
300759,康龙化成,0.0012857059330133294,0.004969818788229119,0.3684112855215789,sz.300759
2313,申洲国际,0.002920237640140937,0.006164267540437756,0.324402990029682,sz.002313
2050,三花智控,0.0024707346875629216,0.00529130956188808,0.2820574874325158,sz.002050
2812,恩捷股份,9.853437144160732e-05,0.0028874422241014813,0.2788907852659874,sz.002812
49,德赛电池,0.0002731920709430645,0.003052533459593676,0.27793413886506113,sz.000049
2352,顺丰控股,0.0025256837560218145,0.005171097141576953,0.2645413385555138,sz.002352
268,金蝶国际,0.001542229658571391,0.004168082251043215,0.2625852592471824,sz.000268
603267,鸿远电子,2.6358450120179052e-05,0.0023128679267889487,0.22865094766687694,sh.603267
2709,天赐材料,0.00048086438856915137,0.0027547235864895754,0.2273859197920424,sz.002709
300037,新宙邦,0.0020341208464386105,0.004292345081705241,0.22582242352666304,sz.300037
601658,邮储银行,0.0015587248666383599,0.0037728554062609653,0.22141305396226052,sh.601658
568,泸州老窖,0.011843944141678888,0.01400580214417014,0.2161858002491253,sz.000568
725,京东方A,0.002326815998497084,0.004482903080497919,0.21560870820008352,sz.000725
941,中国移动,0.00011326407531571136,0.0022058293127194847,0.20925652374037734,sz.000941
300347,泰格医药,0.005701384578077367,0.007782330913989287,0.208094633591192,sz.300347
601633,长城汽车,0.0005930058638550239,0.0025818355028526924,0.19888296389976684,sh.601633
300496,中科创达,0.0008879815881134186,0.002839993546292477,0.19520119581790582,sz.300496
2705,新宝股份,0.0016188606078719305,0.0035203334167696774,0.1901472808897747,sz.002705
100,TCL科技,0.00025278234602246253,0.002078288372960494,0.18255060269380313,sz.000100
600176,中国巨石,3.187588343432883e-05,0.0017987880039572752,0.17669121205229465,sh.600176
1299,友邦保险,0.00293476938414245,0.004653141137135335,0.1718371752992885,sz.001299
2382,舜宇光学科技,0.003270735833868491,0.004924255699178165,0.1653519865309674,sz.002382
603127,昭衍新药,0.0006721277565053554,0.002299868641069033,0.16277408845636773,sh.603127
603589,口子窖,0.00019248836100359032,0.0018122721115222218,0.16197837505186316,sh.603589
2020,安踏体育,0.0011252423907714096,0.0026982844168794433,0.15730420261080336,sz.002020
300595,欧普康视,0.0011900559424112413,0.002711976414824144,0.15219204724129026,sz.300595
291,华润啤酒,0.00031111783148679003,0.001790763703791936,0.1479645872305146,sz.000291
601288,农业银行,0.00048581959102258587,0.0019508101455208554,0.14649905544982694,sh.601288
603501,韦尔股份,0.0025812670407496384,0.0040340044629503975,0.1452737422200759,sh.603501
2333,长城汽车,0.0008812000662084553,0.002298637024815555,0.14174369586070998,sz.002333
603659,璞泰来,0.0003964242636049898,0.001770299158918655,0.1373874895313665,sh.603659
2179,中航光电,0.000382681876838389,0.0017504663399779432,0.13677844631395542,sz.002179
883,中国海洋石油,4.102547704402677e-06,0.0013275375267512847,0.13234349790468822,sz.000883
6886,HTSC,0.00025824703140817876,0.001568412476895015,0.1310165445486836,sz.006886
